,p1,p2
0,0,1972
2,0,138
3,0,3053
4,0,1473
5,0,4978
10,0,3874
12,0,98
14,0,1547
15,0,3622
17,0,5455
20,0,1849
21,0,980
22,0,1578
24,0,876
28,0,2524
29,0,961
30,0,5154
31,0,3372
32,0,2639
33,0,3099
35,0,1909
36,0,4537
40,0,5855
41,0,4157
42,0,2051
44,1,4413
45,1,4896
49,1,2565
54,1,3699
56,1,3849
58,1,1618
60,1,3550
62,1,5729
419,44,4541
420,44,4739
421,44,3283
424,44,3126
425,44,2175
426,44,4855
428,44,2842
431,44,3924
433,44,5474
434,44,2469
437,44,2798
438,44,3027
440,44,1009
443,44,4100
444,44,2395
447,44,4144
450,44,2372
451,44,472
453,44,1978
454,44,4520
512,47,3008
1202,93,522
1203,93,3611
1206,93,3506
1209,93,1122
1210,93,5545
1215,93,3080
1218,93,2202
1219,93,4156
1221,93,5678
1224,93,5533
1227,93,4217
1228,93,4323
1231,93,3957
1232,93,5188
1236,93,3603
1242,93,3321
1244,93,1059
1247,93,1582
1248,93,2612
1250,93,1573
1253,93,2673
1264,94,3457
1266,94,2993
1317,98,1178
1321,98,4914
1323,98,729
1324,98,3260
1327,98,2792
1328,98,5202
1329,98,4185
1330,98,1344
1331,98,1547
1333,98,3622
1334,98,4749
1335,98,4549
1338,98,1849
1340,98,961
1346,98,1558
1348,98,2524
1349,98,3099
1351,98,4293
1353,98,2051
1354,98,297
1358,98,1279
1359,98,5093
1361,98,1475
1362,98,848
1365,98,4623
1370,98,2730
1374,98,676
1379,98,2639
1380,98,4680
1383,98,2647
1385,98,4498
1387,98,1972
1388,98,2555
1391,98,5574
1396,98,3242
1398,98,885
1399,98,1976
1404,98,3489
1405,98,1137
1410,98,432
1411,98,698
1412,98,3684
1413,98,876
1414,98,2759
1415,98,4598
1419,98,5154
1421,98,5065
1422,98,1220
1424,98,3327
1425,98,1224
1429,98,2086
1430,98,5779
1431,98,3694
1432,98,3817
1434,98,2600
1438,98,169
1441,98,5785
1442,98,980
1443,98,5855
1446,98,2015
1448,98,1909
1449,98,2979
1452,98,4537
1454,98,5621
1457,98,4911
1544,108,885
1546,108,2702
1547,108,2086
1548,108,479
1550,108,5779
1552,108,2558
1554,108,4856
1556,108,2527
1557,108,2171
1558,108,1976
1563,108,1279
1566,108,1137
1567,108,2916
1568,108,3817
1569,108,5065
1570,108,1931
1572,108,899
1574,108,2540
1576,108,1621
1577,108,5574
1578,108,3256
1580,108,420
1582,108,4293
1583,108,4992
1585,108,2979
1586,108,4914
1587,108,4804
1588,108,5621
1591,108,297
1592,108,5599
1792,114,2932
1793,114,3379
1818,120,4400
2013,3006,2292
2015,3006,3748
2016,3006,4637
2018,3006,1267
2064,138,1972
2065,138,5154
2066,138,2524
2071,138,2639
2072,138,676
2075,138,876
2077,138,4978
2079,138,3622
2082,138,2051
2460,160,4414
2467,160,2417
2478,160,5417
2528,165,3523
2536,165,3752
2540,165,674
2544,165,2417
2545,165,1797
2552,165,1386
2561,165,4354
2588,169,1224
2592,169,2555
2594,169,1344
2596,169,1279
2597,169,3260
2600,169,1475
2603,169,140
2605,169,2792
2606,169,5202
2608,169,4537
2609,169,4185
2617,169,4598
2618,169,4749
2620,169,3489
2621,169,2730
2623,169,5093
2624,169,1849
2627,169,1621
2628,169,432
2630,169,4943
2631,169,698
2635,169,3684
2637,169,2759
2638,169,1558
2641,169,2015
2644,169,2524
2645,169,1909
2646,169,3099
2649,169,2600
2652,169,2647
2653,169,5785
2654,169,1220
2656,169,5855
2658,169,4498
2659,169,4911
2668,171,2469
2669,171,3027
2894,179,1250
2896,179,3305
2899,179,1590
2900,179,1397
2901,179,190
2902,179,911
2903,179,4333
2904,179,5718
2907,179,2141
2908,179,384
2910,179,901
2912,179,3768
2913,179,1770
2914,179,4193
2916,179,1983
2917,179,3229
2918,179,2634
2919,179,2035
2922,179,435
2925,179,1436
2928,179,5086
2929,179,1971
2931,179,5705
2932,179,3182
2935,179,3637
2937,179,2612
2939,179,2925
2940,179,4883
2941,179,1145
2942,179,4228
3049,190,3080
3051,190,1983
3053,190,3696
3058,190,3305
3059,190,3506
3060,190,5678
3063,190,901
3064,190,3108
3065,190,1590
3067,190,4193
3070,190,2034
3071,190,3229
3076,190,4005
3077,190,1215
3079,190,4883
3083,190,3603
3084,190,2868
3086,190,5086
3088,190,3609
3091,190,5705
3094,190,4583
3095,190,3211
3096,190,1770
3097,190,2612
3100,190,4796
3101,190,1145
3102,190,5420
3103,190,3315
3104,190,4759
3952,240,575
3955,240,3008
3958,240,3296
4147,269,3008
4415,297,2764
